,Club Desctiption
20,The AniMusic Orchestra and Affilated Ensembles is a group of musicians dedicated to playing music originating from primarily anime and video game soundtracks. Our orchestra is a symphonic rock orchestra that combines classical instrumentation with a guitars and a drum set. Musicians willing to participate in our ensembles will also be put into small groups of 2-5 to play chamber music arrangements.
21,"The Association of Caribbean Students (ACS) at the University of Waterloo is a social club that is dedicated to the promotion of Caribbean culture and cultural unity in general within the University Community. Within ACS, students born in the Caribbean will be able to experience and enjoy an atmosphere in which they can relax and feel at home. Students not born in the Caribbean, but with Caribbean background will find a place where they can find out more about their ancestry, homeland and culture. Students with no Caribbean background will have the opportunity to discover more about a unique culture and participate in activities and events that they might not have otherwise been able to experience. The ACS provides entertainment and educational value to students of all backgrounds."
22,"The Association of Latin American Students (ALAS) is a cultural, recreational and social club created with the main purpose of sharing Latinx culture with the student body of the University of Waterloo. Our goal is to be inclusive of all people who wish to become more knowledgeable and involved with Latin America, whether or not they have direct ties connecting them to the region. ALAS wishes to recognize and celebrate the rich cultural diversity presented in the different Latin American countries, and how our different identities are interwoven to form part of the same quilt. "
23,"The Assyrian Chaldean Syriac Student Union (ACSSU) at the University of Waterloo serves to promote and educate others on Assyrian Chaldean Syriac culture and heritage, raise awareness on human rights issues, and support those in need. We would like to create a community at UW that is aware and appreciates the history and culture of all students. To achieve these goals and strengthen ties within the ACS community we plan to hold fundraisers, social outings, community education seminars, cultural networking opportunities, and social justice and cultural events. "
24,"Athletes in Action is a Christian organization with just over 60 staff in Canada and a worldwide team of well over 600 working in 60 countries! We run sports camps for kids, offer international tours, provide chaplaincy for various professional sports teams and we are present on university campuses to support and mentor athletes, as we are doing here in Waterloo. We host weekly meetings and other events where we learn how to integrate faith and sport. We welcome anyone who loves sport, from recreational to varsity athletes, and whether you're Christian or not. Our goal is to provide a community where members can share their experiences in sport, life and faith and learn from one another. "
25,"Non-profit club that helps raise money for local children's charities through events such as bake sales, movie nights and basketball game events.
	 "
26,"Best Buddies was founded in the United States in 1993 and has expanded worldwide. As a participating school, the University of Waterloo Best Buddies Chapter's goal is to make our community more inclusive and accepting of people with intellectual disabilities."
27,The club consists of peer buddies and associate members. Peer buddies are students paired in a one-to-one friendship with a person who has an intellectual disability (called buddies). Buddies are adults from the community with intellectual disabilities. Matches are made for at least one academic year. Associate members are students who are part of the chapter but who are not paired in one-to-one friendships. Associate members can play support roles and help plan events. They can also participate in group events. 
28,"Each year, the chapter starts off by having an information session to assign interview times due to the limited buddies available. Once the club members have been decided, police check forms (sheets are provided by the chapter) are required in order for peer buddies to go on one-on-one outings together. the chapter plans monthly events for all members to attend with their buddies. Some events include bowling, Waterloo's Wonders of Winter Lights Festival, and movie night. Any suggestions are welcomed!"
29,"The Biomedical Science Student Association is a club that aims to promote a welcoming academic and social atmosphere to incoming students who wish to pursue professions under the field of Biomedicine. Such professions can include, but are not limited to: research, medicine, dentistry, pharmacy, and allied healthcare professions. Our goal is to foster meaningful connections between first and second year students (whether they know what they want to do or not) with upper year students, who have experience with matters such as professional school applications, courses, minors, and much more. We believe in building the community within the biomedical science, honour's science program, and beyond them to form a cohesive network of students helping students. "
30,"UW BASE stands for the University of Waterloo Black Association for Student Expression. We seek to provide students with an establishment that offers peer mentorship and community outreach initiatives; promote diversity, cultural enlightenment and a heightened understanding of black people and black culture; act as a medium for students to express themselves and to foster a stronger identity within the university demographic; welcome, respect, love and appreciate people of all colours, backgrounds and mixes thereof"
31,"We host events such as Fever: Annual All Ages Throwback, the ""One Seed. Many Roots,"" Black History Month Series, Afro Day, ""Love, Sex & Disease"", work-out sessions and numerous other educational and social events."
32,The UW Breakers promotes hip hop culture and break dancing as a fun and exciting activity for students and others as a form of self-expression and as an opportunity to get to know one another. The club hosts dance battle events and participates in performances for members who want to dance more competitively.
33,Breaking Barriers is a club targeting Chinese international students and hopes to support mental health promotion and to enhance personal growth among students of minority ethnic backgrounds.
34,"1. To encourage the understanding of Buddhism, particularly Mahayana Buddhism and Humanistic Buddhism and to promote the application of the Buddhist principles of kindness, compassion, joy, and equanimity to our daily lives. 
	2. To organize meetings and social gatherings to discuss Buddhism-related topics. 
	3. To provide a friendly environment for spiritual development to the members of the University who are interested in learning Buddhism and meeting with other Buddhists. 
	4. To provide an opportunity for students to improve their skills on event organization, leadership, newsletter publishing, and website development.
	 "
35,"Cabaret is more than just a performance: the troupe is a supporting family. Ranging from dance, to singing, to comedy, to sensational sensations, at a cabaret’s heart is entertainment. It is no lie that life is a Cabaret!  Our focus is on producing a fabulous, original show for the UW community at the end of each semester."
36,"University of Waterloo Conservatives is a group that connects university students to Conservatives parties. Students have the opportunity to volunteer on political campaigns, meet prominent Conservative politicians, and socialize with other Conservative youth. Past events have included hosting ministers, candidates, and having group socials."
37,"The purpose of the CCCh is to offer an outlet for those students, faculty, staff and Alumni who enjoy cheese, or wish to enjoy cheese. The club is not limited to the enjoyment of cheese, but may also include the enjoyment of wine and cheese. We have activities such as eating cheese, talking about cheese, rating cheese, cheese related news, current cheese events, and board games. Cheese plates may include other things aside from cheese.
	 "
38,"We are the University of Waterloo Student Chapter of the Canadian Coalition for Global Health Research. We represent a student-led initiative designed to foster research and networking in global health among University of Waterloo students across all disciplines. Our goal is to engage with students interested in global health research or who may be considering a career in the field of global health, to open opportunities for professional development. "
39,We invite students from all faculties at UW to like and follow our Facebook Page.
40,To learn more about the Canadian Coalition for Global Health Research.
41,"The Canadian Liver Foundation - Waterloo Chapter is a club which works to provide support for research and education into the causes, diagnoses, prevention and treatment of all liver disease.  Our mandate is to promote liver health and to reduce the incidence and impact of all liver disease.  Join to learn more about liver disease and participate in fundraising and promotion on how to live a healthier life. "
42,"CSEB-UW is a student run organization whose purpose is to promote the interrelated sciences of epidemiology and biostatistics with the objective of encouraging further study, innovation, networking and practice in the fields."
43,"UW Cantonese Chinese Christian Fellowship (UWcCCF) is a Christian group on campus with a focus in Cantonese and English speaking students. We aim to build a community of Christian believers on campus, equip members with biblical knowledge, and evangelize others at the University of Waterloo. UWcCCF consists of mostly Christians rooted in Cantonese culture or from a Hong Kong background, however, anyone is welcome to learn more about God, connect with brothers and sisters, and share their love to people around them. We run various interactive activities during our weekly meetings, such as Bible studies, worship, prayer nights, games and outreach services. Please browse our Facebook page to know more about us! We look forward to seeing you!Facebook group: https://www.facebook.com/groups/uwcccf/ (General information)Email: uwcccf@clubs.feds.caOther information:
	Fellowship meeting time for Winter 2018:"
44,"The University of Waterloo Cantonese Multimedia Productions (CaMP) is non-profit organisation, sole student run club on campus that operates together with UW Dimensions, KW Channel One and UW Chinese Drama Club. CaMP promotes the general public’s interest in Cantonese language and Hong Kong Culture."
45,The University of Waterloo Dimensions (UWD) produces a Chinese magazine publication. UWD strives to publish a new issue each term. Publications can be found on the magazine rack outside of the FEDS office in the Student Life Centre.
46,"KW Channel One (KWC1) gathers Cantonese speaking students together to write and record various types of radio programs such as talk shows, music drama and radio plays. Recordings will be published every Saturday on our Facebook page and Youtube channel. Enjoy the show :)"
47,"The UW Chinese Drama Productions (UWCDP) is organized by a team of dedicated students who seek to develop and demonstrate their talents and creativity in various areas related to drama production. This fun-loving and dynamic organization offers students many opportunities for dramatic performance, script-writing, and stage construction."
48,"The UW Charity Knitting Circle is a club where students can knit together in a relaxing, social environment. The club selects at least one knitting-related charity per term and creates handcrafted items to donate to them. Knitters at any level of experience, including those who have never knit before, are welcome to join and either learn a new craft or develop their existing skills."
49,Welcome to another great term at UW Chess Club. We wish to provide an environment where people throughout the Kitchener-Waterloo Region can enjoy the game and share their love for chess through discussions and strong tournaments for all levels. We provide a mentorship program for beginners who are intent on getting better as well as casual play with your friends and teachers.
50,We are pleased to inform that we have established Kitchener-Waterloo Chess Club as our co-sponsor.
51,"The Chinese Christian Fellowship (CCF) is a campus group of culturally diverse Christians who meet together regularly to: be a visible and effective witness for Jesus Christ on this campus, provide an environment of mutual support that will enable students to discover their potential and the true meaning of life within the context of university as well as after graduation, encourage its members to practice genuine Christian love, and help students integrate into local churches."
52,"The UW Chinese Classical Dance Club (UWCCDC) focuses on practicing and performing traditional chinese dances. Members attend weekly sessions where they will learn how to practice chinese dance techniques such as stretches, kicks, and leaps. Part of each session will be dedicated to learning a traditional chinese dance so that members can appreciate the grace, elegance, and precision of the dance style. Sometimes members will also have the option to participate in a group dance performance with full costumes, props, and makeup. Our club welcomes all experience levels! If you have any questions please don't hesitate to contact us at uwccdc@gmail.com."
53,"Our club promotes Chineses debate and Chinese culture. We run activities related to debate, and Chinese culture."
54,"The UW Chinese Drama Club is organized by a team of dedicated students who seek to develop and demonstrate their talents and creativity in various areas related to drama production. Through the exploration of dramatic themes pertinent to both traditional and modern Chinese culture, this fun-loving and dynamic organization offers students many opportunities for dramatic performance, script-writing, and stage construction."
55,"The University of Waterloo Chinese Students’ Association was first established nearly 40 years ago with a vision towards bringing awareness of the Chinese community. After its establishment, UWCSA has expanded to more than 1000 members. Being the largest Chinese cultural club at the University of Waterloo, we serve to connect and unite the diverse Chinese students of our institution, and in the process, contribute to multiculturalism throughout our university."
56,"UWCSA is widely renowned for its planning and execution of successful term events and activities. We host a variety of events, such as singing contests and sporting events, to facilitate and foster communication between our members. We also organize social events with other clubs that are not limited to those at University of Waterloo to extend our culture to others."
57,"In the future, the members of UWCSA are hoping to be able to expand and grow with one another, creating an association that is both successful and beneficial to all the students of the University of Waterloo."
58,"The Christian Orthodox Student Association ( COSA ) at the University of Waterloo is designed to cater to all students, staff and faculty who are interested in the Orthodox Christian Church and its traditions. This friendly and welcoming community is committed to providing spiritual, social and community volunteering services year long! Activities include prayer sessions, dinners and outings, talks and bible study sessions, and various opportunities for volunteering activities! Please use our Google group or our Facebook page to learn more about us :)!"
59,"Christians on Campus (CoC) are believers in Christ. Thus, we love the Lord Jesus Christ and endeavor to give Him ""the first place in all things"" (Col. 1:18). Whether meeting one-on-one or in small groups, our desire is to cooperate with Him for the accomplishment of God's eternal purpose (Eph. 3:11) by ministering the unsearchable riches of Christ (Eph. 3:8) for the building up of the Body of Christ (Eph. 4:12). We warmly receive all believers in Christ, and people who want to learn about Christ and we seek to maintain the oneness of the Spirit by keeping our focus on Christ. He is so rich! He is so full! He is everything to us, and He is the center of our enjoyment. Christians on Campus is a registered Federation of Students club at the University of Waterloo. We hold the faith that is common to all believers. Through daily prayer, Bible reading, and Christian fellowship we are growing ""in the grace and knowledge of our Lord and Savior Jesus Christ"" (2 Pet. 3:18). To Him be the glory both now and forever. Amen. For further information, including our weekly gatherings such as our Bible study, please contact us or visit our website."
60,"Celebrating 20 years, CTRL-A is an organization that promotes interest in animation, pre-dominantly of Japanese origin. A social club first and foremost, our membership is open to anyone with an interest in anime, gaming, and any other related topics. We hold on-campus events, with general meetings traditionally held once a week, anime screenings several times a term, in addition to other special events, such as karaoke and a cosplay cafe."
61,"We share thoughts and experiences, meet new people, have some fun and enjoy great coffee! Join us for more exciting and interesting activities! Also, you might receive more exclusive PROMOTIONS from different kind of coffee shops!"
62,"No matter your skill level, faculty, or language (human OR software), if you're interested in coding, Coffee 'N Code is the place to be. Join us once a week for a few hours, grab some coffee and you can work on your own project or find someone to pair program with! Sharing opportunities for learning through workshops, projects, sharing resources and providing an environment for you to explore coding is what we’re all about – bring your questions and curiosity!"
63,"UW Concert Band Club is a club for people who love those concert band days in high school, or even elementary school! Our unauditioned concert band presents an opportunity for musicians from all faculties and programs to maintain their musical skills while having fun in a supportive atmosphere at Renison Chapel."
64,"We practice weekly on a weekday evening, check out our site below for more information about the current term or email us to get in the know!"
65,"We are a student-run organization with the goal to encourage and promote collaboration in the field of contact lenses between undergraduate optometry students and graduates in vision science at the University of Waterloo School of Optometry and Vision Science. The aim of the club is to expose students to the most up-to-date and common practices in contact lenses. This will be done through providing information on current research papers and clinical practices with journal club workshops to explore and discuss contact lens research, as well as guest lectures from experts in the field."
66,"The Cooking Club serves up cooking classes, bake sales, barbeques, and other food related adventures. We cover the full spectrum of foods from fancy sushi rolling classes to quick and dirty tips to help you manage the necessary evil known as ‘cooking during midterms’. When we’re not in the kitchen or hosting our famous classes, we occasionally venture out to the real world to visit coffee roasters, picnic areas, strawberry fields, or bonfire pits. If we’re not doing any of the above, our members are usually busy trying to craft an amazing burger or a cupcake to sell at one of our barbeques or bake sales to help fuel the culinary debauchery."
67,Our club comes together and work on art and craft projects. We plan to hold meetings and teaching sessions to teach members a new craft project throughout each term to inspire our members while giving them the opportunity to use their creativity to create one of a kind crafts. The proceeds from all events will be donated to charity.
68,"This is where your passion or curiosity for Latin rhythms combines with your inner social butterfly for one of the most fun dance experiences you will ever have. The Waterloo Cuban Salsa Club's goal is to spread the joy of Cuban salsa and other Latin-American rhythms among the Waterloo community through dance classes, workshops and social outings. For those who are interested in learning new steps, perform in front of a crowd or simply practice your moves this is the right place for you! Join us and see for yourself why we are the best university club dedicated to latin dances in the region!"
69,"The purpose of this club is to promote the exchange of language and culture between students by forming small study groups. With the multicultural student body of UW, we are able to match up each student's preferred language to learn with other students who are knowledgeable in that language and can teach. This club compliments the academic languages courses nicely, and provide an opportunity to learn languages in a fun manner. Individual sessions will focus on improving the individual's speaking, listening and writing (grammar & spelling) skills through lectures as well as fun activities incorporating students’ hobbies and interests. This also serves as a great opportunity to prepare students who wishes to participate in foreign exchange programs."
70,"UW DAEBAK is all about creating an inclusive space where students can come together and share their interest in Korean pop culture (Korean music, dramas, movies, food and more!)  with other students through fun and interactive activities while learning about Korean culture."
71,"Our club connects UW students interested in Data Science with other members and outside companies. We hold weekly Meetings (Tutorials, Lectures, Data Set Analysis etc), Speaker Events(From Sponsors, Recruitment companies) and Workshops."
72,We are a group of people who love to play DDR and other rhythm games!
73,"Our purpose is to hone our skills for competitive debate, within the CUSID (Canadian University Society for Intercollegiate Debate) and beyond. We do this through lessons on improving debate and public speaking, attending/hosting intercollegiate debate tournaments, socials and other events. 
	 "
74,DECA is an international student organization that joins college and university students together to engage in business related activities.
75,"These include seminars and conferences, professional development, competition, community service, and public speaking."
76,"DECA programs and activities are focused on helping members grow and develop as professional business leaders. DECA focuses on networking with other students as well as professionals, improving communication and leadership skills while Increasing your knowledge in the areas of marketing, finance, entrepreneurship and management through case studies, tests and role plays."
77,"We love playing deception games such as Avalon, Coup and Battlestar Galactica! Join our Facebook group to vote on when we meet up to play or send us an email with any questions."
78,"The University of Waterloo Dimensions (UWD) is the sole student-run club on campus to produce a Chinese publication. UWD publishes three new issues each year, or once every four months. The club functions as a non-profit organization, and as such, all expenses are sponsored by various businesses in both the Greater Toronto Area and the Waterloo-Kitchener district. Our publications are available on campus on our magazine rack outside the FEDS office at the Student Life Centre. They will also be regularly distributed at our booths at the university and in the major shopping centres in the Chinese community in the GTA."
79,"UWDJ Club is about bring together the UW DJ community. It is about all forms of DJing. People who DJ, those who want to learn, and those who just like the music. Want to know more? Check out the website, or drop us a line at our e-mail address."
80,"Every week the DJ Club is planning to come together to share knowledge and expertise. We hope to bring turntables, mixer, and small PA into the lower atrium to play. The plan is to rotate between hip hop and electronic forms of music allowing various DJs in the UW community to share with one another."
81,"The purpose of the club is to explore and celebrate drag culture and performance. Club events, activities, and/or initiatives will include learning and sharing performance techniques, discussing drag-related topics, and putting on drag performances."
82,"Effective Altruism is a global movement dedicated to making a positive impact on the world in the most effective way possible. This involves not only caring about making a difference, but also thinking critically and finding evidence-based approaches to improving the world. The Waterloo Effective Altruism Club is for altruistically motivated students to learn more about how they can spend their limited time and money to have the largest impact possible. Students can also get to know like-minded individuals to network and share ideas."
83,"Enactus Waterloo will be a chapter of Enactus, which is a series of inter-university clubs that represent the non-profit organization. This is an organization that works with leaders in business and higher education to mobilize university students to make a difference in their communities while developing the skills to become socially responsible business leaders. Participating students form teams on their university campuses and apply business concepts to develop outreach projects that improve the quality of life and standard of living for people in need. In addition to the community aspect of the program, Enactus' leadership and career initiatives create opportunities for learning and exchange among the participants as well as the placement of students and alumni with companies in search of emerging talent. "
84,"The University of Waterloo Energy Network is a group of students bound together by a shared belief in a sustainable approach to the Energy Industry. UWEN offers the chance for like-minded students to attend educational seminars, panel discussions, participate in exciting competitions and informal opportunities to network with industry professionals."
85,Engineers in Medicine is a student club designed to promote awareness and facilitate networking opportunities for students interested in the medical field. Club members participate in guided medical discussions and social and educational events which help nurture their medical interest while connecting them with other students who share similar aspirations.
86,"Engineers Without Borders (EWB) Canada is a non-profit national organization that was founded by two University of Waterloo students. This mission statement of the organization is to bring people and ideas together to tackle the most crucial causes of poverty and inequality. The organization consists of chapters from across Canada, with members from all academic backgrounds (not just engineering), that use long-term development and systemic innovation to raise awareness and create change.
	The EWB University of Waterloo Chapter does impactful work on campus, in the Kitchener-Waterloo region, and overseas. One of our most successful on campus projects is our podcast, which advertise the systems thinking approach to a variety of different issues. Our youth engagement program has enabled us to educate high school and elementary students on the importance of social issues and long-term solutions. Also, we advocate to the public and politicians to dedicate more resources towards international development. We run fundraising events to raise money for social enterprises in Sub-Saharan Africa. Every year, we hire a Junior Fellow to work for 4 months at a social enterprise in Sub-Saharan Africa.
	The ability for our chapter to truly make a difference the world depends on the commitment and effort put in by our outstanding team members. No matter what faculty you're from, we would love to have you be a part of our team. Together, we can help eliminate poverty and inequality in the world."
87,"We improve the technological literacy of seniors by going to senior homes and teaching technology use, creating programs to make technology more accessible and easy to use, and creating instruction documents for others to use.
	 "
88,"As a group, the society aims to expose students to entrepreneurship by giving them opportunities to immerse themselves in the community. By working with established organizations such as Velocity, Conrad Centre, Greenhouse, the Accelerator Centre, and Communitech, the Entrepreneurship Society at UWaterloo is an integral part of the established start-up network in the region. "
89,"We gather University of Waterloo students, staff, faculty and members of the UW community at large to play, compete, and have fun in Esports such as Hearthstone, Overwatch, Heroes of the Storm, Starcraft 2, Halo and other games. We are continuously expanding into different games depending on the interests of our group members. We will be hosting bi-weekly meetings where we discuss future events as well as any improvements the club members wish to see in the club. We will be hosting tournaments throughout the term for our most popular games. We will also be providing infrastructure for members to practice and participate in external tournaments."
90,"The purpose of our club is to give experienced Euchre players an organized, competitive level of euchre play, while providing new players with a fun environment in which to learn the game of Euchre. 
	We have weekly meetings where you can meet new people, socialize, and enjoy the great game of Euchre.
	There is a $5 membership fee for joining the UW Euchre Club for a term. This fee covers weekly snacks/drinks and tournament prizes."
91,"University of Waterloo Fantasy Sports Club is a club where people can come together to learn and play fantasy sports games like football, basketball, baseball and hockey and participate in prediction brackets. These games will help facilitate meetings that consist of debates and discussions on the status of each sport. On occasion, we will watch sporting events together where we will just have a fun time!"
92,"The University of Waterloo Fighting Game Club caters to Fighting Game players of all kinds! We are a casual to a semi-competitive club that plays a wide variety of Fighting Games including Street Fighter, Tekken, Guilty Gear, Blazblue, Injustice, and much more!"
93,Join our Facebook group for all the latest information.
94,"The University of Waterloo Filipino Students' Association is a club driven to help educate Filipinos and Filipinos-at -heart about the Filipino culture. Not only to gather for social occasions, but to create a tight-knit community sharing our many talents and resources."
95,"A place for people with all kinds of talent and skill levels to come together and make films. We also have tutorials and regular shoots where there is a lot of learning opportunity. All films posted on youtube, head on over for a good laugh and see what we are up to. Any one and everyone is welcome to join us. Email us for more info."
96,"UW Finance Association (UWFA) was formed in May 2011 as the continuation of two established finance clubs, WIREX and UW Capital Markets Group. UWFA aims to introduce new students to finance through the use of tutorials, guest speakers, information sessions and forums. UWFA supports the career development of all students through various workshops, events, and provides networking opportunities between members and industry professionals."
97,"The First Institute of Canadian Inventors (FICI) is a non-profit organization and the official branch of International Federation of Inventors' Association in Canada, which is working under observation of the United Nation (UN). FICI leads the national team of Canadian inventors. FICI club at the University of Waterloo aims to provide workshops, seminars, and meetings to:"
98,"Provide workshops including TRIZ, technical design, Intellectual Properties (IP and Patenting), and a workshop for final nominees who are ready to participate in international competitions. Help students, who have a perspective on innovation, to prototype their feasible ideas. Familiarize students with patent licensing systems to protect their novel ideas. Help students to successfully show their achievements in international innovation competitions and exhibitions to win awards. knowledge of innovation experts to improves the Canadian society and economy."
99,"The Foundation for International Medical Relief of Children (FIMRC) University of Waterloo Chapter is a club dedicated to raising awareness for global health inequity, with a specific focus on maternal and pediatric health. FIMRC UW will focus on fundraising for specific projects to improve access to healthcare, and education (preventative health), organizing local volunteer opportunities in the KW region, and serving as a conduit for interested students to volunteer abroad in one of nine FIMRC volunteer sites, which are Costa Rica, Dominican Republic, Ecuador, El Salvador, India, Nicaragua, Peru, Philippines, and Uganda."
100,"Frontier College –  Kitchener/Waterloo at the University of Waterloo is considered the “Kitchener/Waterloo Chapter” of Frontier College, a national, non-profit organization that aims to improve literacy across Canada. FC-KW works to promote literacy awareness in the  Kitchener/Waterloo community and helps students get involved in Frontier College literacy programs across the Kitchener/Waterloo area."
101,"The University of Waterloo Game Development Club (UWGDC) is a club where students can create, test, and discuss games.  We explore many types of games, from tabletop to digital."
102,"During weekly meetings, we host talks discussing game design topics ranging from Level Design to Accessibility.  Additionally, we give tutorials for game development tools including Unity, Unreal 4 Engine, and Blender."
103,"Want to make a game?  We have a friendly and welcoming space at the Games Institute to work on your project.  Have a game made already, or in progress?  We regularly play-test member-made games during club hours.  Game developers of all skill levels are welcome!"
104,"For more information, visit our website at: csclub.uwaterloo.ca/uwgdc"
105,The University of Waterloo Gamers Club brings together all members of the UW community to play games of shared interest with and against each other
106,"The General Equality Club works to provide a forum for the discussion of equality and give students the opportunity for advocacy to create change. Additionally, we connect students with opportunities to make a positive impact as a liaison between them and other clubs and organizations in the community. We work through increasing exposure to different cultures and amplifying the voices and experiences of those who face discrimination or inequality thus increasing the sense of community within Waterloo. We hope to inspire others to approach different people with open hearts. We believe the future lies within a celebration of heterogeneity."
107,"Geriatric Pharmacy Club at the School of Pharmacy in Kitchener serves to create advocacy and educational opportunities for pharmacy students, with an ultimate goal to empower seniors and their caregivers to take a more active role in maintaining their health and quality of life. In order to also benefit the KW community at large, we plan to collaborate with various community organizations and involve non-pharmacy individuals in some of our initiatives."
108,"The University of Waterloo Global Affairs Association (GAA) will be a forum for students who are interested in global affairs, based in the University of Waterloo. It will be open to all faculties, and will facilitate academic and experiential learning on various topics. The GAA will organize educational events for students, provide a space for discussion and debate, and participate in external conferences representing the University of Waterloo."
109,"Global Business Brigades UW, part of the Global Brigades family, is an international movement of university students and professionals building economic opportunities in the developing world."
110,"We work alongside promising entrepreneurs and experienced year-round staff to create financial opportunities in remote, rural, and under resourced areas of Panama, Honduras and Ghana."
111,"GBBUW is the first organization at the University of Waterloo to offer students the opportunity to volunteer abroad to consult businesses and entrepreneurs, develop community-led cooperative banks, and promote financial literacy."
112,"Global Brigades is the world’s largest student-led global health and sustainable development organization. Since 2004, Global Brigades has mobilized thousands of university students and professionals through nine skill-based service programs to improve quality of life in under-resourced communities through partner organizations in Honduras, Nicaragua, and Panama."
113,"Medical Brigades
	​University of Waterloo Global Medical/Dental Global Brigades (UW GM/DB) is a non-profit club led by dedicated students interested in the fields of medicine, pharmacy, dentistry, and healthcare. This club is comprised of various Executive Members and General Members who volunteer locally and/or abroad to Honduras, Nicaragua, Panama, or Ghana to create sustainable, positive impacts on under-resourced communities, while undergoing a life-changing experience. Locally, we organize information sessions, fundraising events, collect hygiene supplies, and recruit brigaders. Then we travel abroad to help run mobile pharmacy/medical/dental clinics in under-resourced communities. Our mission is to empower under-resourced communities as well as the brigaders to resolve global health and economic disparities."
